警察本部番号,警察本部名称,都道府県,警察署番号,頭名,フリガナ,名称,電話番号,郵便番号,郡,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,管轄区域,備考,LocName,Longitude,Latitude,isTrustful,iLvl
11.0,北海道警察本部,北海道,1.0,中央,チュウオウ,中央警察署,011-242-0110,600001.0,,札幌市中央区,11011.0,札幌市中央区北一条西五丁目４番地,北一条西5-4,中央区の内　西警察署及び南警察署の管轄区域を除く区域,,北海道/札幌市/中央区/北一条/西五丁目/４番地,141.34923,43.06231,5.0,7.0
11.0,北海道警察本部,北海道,2.0,東,ヒガシ,東警察署,011-704-0110,650016.0,,札幌市東区,11037.0,札幌市東区北十六条東一丁目３番15号,北十六条東1-3-15,東区　,,北海道/札幌市/東区/北十六条/東一丁目/３番,141.35318,43.08072,5.0,7.0
11.0,北海道警察本部,北海道,3.0,西,ニシ,西警察署,011-666-0110,630032.0,,札幌市西区,11070.0,札幌市西区西野二条五丁目３番60号,西野二条5-3-60,"西区,北海道/札幌市/西区/西野二条/五丁目/３番""",,,141.28008,43.07801,5.0,7.0
11.0,北海道警察本部,北海道,4.0,南,ミナミ,南警察署,011-552-0110,640929.0,,札幌市中央区,11011.0,札幌市中央区南二十九条西十一丁目１番１号,南二十九条西11-1-1,"南区,北海道/札幌市/中央区/南二十九条/西十一丁目/１番""",,,141.34560,43.02134,5.0,7.0
11.0,北海道警察本部,北海道,5.0,北,キタ,北警察署,011-727-0110,10024.0,,札幌市北区,11029.0,札幌市北区北二十四条西八丁目２番20号,北二十四条西8-2-20,"北区,北海道/札幌市/北区/北二十四条/西八丁目/２番""",,,141.33748,43.09039,5.0,7.0
11.0,北海道警察本部,北海道,6.0,白石,シロイシ,白石警察署,011-814-0110,30803.0,,札幌市白石区,11045.0,札幌市白石区菊水三条五丁目４番２号,菊水三条5-4-2,白石区,,北海道/札幌市/白石区/菊水三条/五丁目/４番,141.37985,43.05457,5.0,7.0
11.0,北海道警察本部,北海道,7.0,豊平,トヨヒラ,豊平警察署,011-813-0110,620907.0,,札幌市豊平区,11053.0,札幌市豊平区豊平七条十三丁目１番15号,豊平七条13-1-15,"豊平区,北海道/札幌市/豊平区/豊平七条/十三丁目/１番""",,,141.37801,43.04195,5.0,7.0
11.0,北海道警察本部,北海道,8.0,厚別,アツベツ,厚別警察署,011-896-0110,40052.0,,札幌市厚別区,11088.0,札幌市厚別区厚別中央二条四丁目５番20号,厚別中央二条4-5-20,"厚別区,北海道/札幌市/厚別区/厚別中央二条/四丁目/５番""",,,141.46864,43.03880,5.0,7.0
11.0,北海道警察本部,北海道,9.0,手稲,テイネ,手稲警察署,011-686-0110,60011.0,,札幌市手稲区,11096.0,札幌市手稲区富丘一条四丁目３番１号,富丘一条4-3-1,手稲区,,北海道/札幌市/手稲区/富丘一条/四丁目/３番,141.25398,43.10975,5.0,7.0
11.0,北海道警察本部,北海道,10.0,江別,エベツ,江別警察署,011-382-0110,670073.0,,江別市,12173.0,江別市弥生町23番地,弥生町23,"江別市,北海道/江別市/弥生町/２３番""",,,141.54407,43.10696,5.0,7.0
