都道府県名,警察署名称,交番・駐在所頭名,交番・駐在所頭名（フリガナ）,交番・駐在所の別,名称,【名称】○○警察署＋■■交番、△△駐在所,電話番号,郵便番号,郡,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,LocName,Longitude,Latitude,isTrustful,iLvl
北海道,中央警察署,薄野,ススキノ,交番,薄野交番,中央警察署薄野交番,011-511-5583,640804,,札幌市中央区,11011,札幌市中央区南4条西3,南4条西3,北海道/札幌市/中央区/南四条/西三丁目,141.35413,43.05561,5,6
北海道,中央警察署,豊平橋,トヨヒラバシ,交番,豊平橋交番,中央警察署豊平橋交番,011-521-6465,600055,,札幌市中央区,11011,札幌市中央区南5条東4,南5条東4,北海道/札幌市/中央区/南五条/東四丁目,141.36308,43.05624,5,6
北海道,中央警察署,南三条,ミナミサンジョウ,交番,南三条交番,中央警察署南三条交番,011-221-0761,600063,,札幌市中央区,11011,札幌市中央区南3条西7,南3条西7,北海道/札幌市/中央区/南三条/西七丁目,141.34758,43.05595,5,6
北海道,中央警察署,大通,オオドオリ,交番,大通交番,中央警察署大通交番,011-221-1078,600042,,札幌市中央区,11011,札幌市中央区大通西1,大通西1,北海道/札幌市/中央区/大通西/一丁目,141.35637,43.06102,5,6
北海道,中央警察署,札幌駅前,サッポロエキマエ,交番,札幌駅前交番,中央警察署札幌駅前交番,011-231-5584,600005,,札幌市中央区,11011,札幌市中央区北5条西4-４,北5条西4-４,北海道/札幌市/中央区/北五条/西四丁目/４番地,141.34959,43.06727,5,7
北海道,中央警察署,北一条東,キタイチジョウヒガシ,交番,北一条東交番,中央警察署北一条東交番,011-251-5060,600031,,札幌市中央区,11011,札幌市中央区北1条東7,北1条東7,北海道/札幌市/中央区/北一条/東七丁目,141.36688,43.06475,5,6
北海道,中央警察署,御幸,ミユキ,交番,御幸交番,中央警察署御幸交番,011-251-8354,600063,,札幌市中央区,11011,札幌市中央区南3条西14,南3条西14,北海道/札幌市/中央区/南三条/西十四丁目,141.33551,43.05465,5,6
北海道,中央警察署,北一条西,キタイチジョウニシ,交番,北一条西交番,中央警察署北一条西交番,011-621-8223,600001,,札幌市中央区,11011,札幌市中央区北1条西15,北1条西15,北海道/札幌市/中央区/北一条/西十五丁目,141.33371,43.05991,5,6
北海道,中央警察署,桑園西,ソウエンニシ,交番,桑園西交番,中央警察署桑園西交番,011-611-1866,600004,,札幌市中央区,11011,札幌市中央区北4条西19,北4条西19,北海道/札幌市/中央区/北四条/西十九丁目,141.32649,43.06287,5,6
北海道,東警察署,北十三条,キタジュウサンジョウ,交番,北十三条交番,東警察署北十三条交番,011-731-6655,650013,,札幌市東区,11037,札幌市東区北13条東1-3-7,北13条東1-3-7,北海道/札幌市/東区/北十三条/東一丁目/３番,141.35394,43.07769,5,7
北海道,東警察署,北十二条東,キタジュウニジョウヒガシ,交番,北十二条東交番,東警察署北十二条東交番,011-731-9830,650012,,札幌市東区,11037,札幌市東区北12条東11-1-12,北12条東11-1-12,北海道/札幌市/東区/北十二条/東十一丁目/１番,141.36923,43.07817,5,7
北海道,東警察署,元町,モトマチ,交番,元町交番,東警察署元町交番,011-781-4221,650024,,札幌市東区,11037,札幌市東区北24条東18-4-39,北24条東18-4-39,北海道/札幌市/東区/北二十四条/東十八丁目/４番,141.37794,43.09517,5,7
北海道,東警察署,北二十六条,キタニジュウロクジョウ,交番,北二十六条交番,東警察署北二十六条交番,011-711-3787,650026,,札幌市東区,11037,札幌市東区北26条東6,北26条東6,北海道/札幌市/東区/北二十六条/東六丁目,141.35767,43.09517,5,6
北海道,東警察署,栄東,サカエヒガシ,交番,栄東交番,東警察署栄東交番,011-704-5392,70841,,札幌市東区,11037,札幌市東区北41条東14-2-16,北41条東14-2-16,北海道/札幌市/東区/北四十一条/東十四丁目/２番,141.36438,43.11232,5,7
北海道,東警察署,栄西,サカエニシ,交番,栄西交番,東警察署栄西交番,011-731-9611,70842,,札幌市東区,11037,札幌市東区北42条東4-1-35,北42条東4-1-35,北海道/札幌市/東区/北四十二条/東四丁目/１番,141.35034,43.11122,5,7
